location,name,gender,10gen,20gen,30gen,40gen,50gen,60gen,70gen,category,start,end
잠실역,티파니 팝업,female,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,백화점/중대형마트,09:00:00,09:03:15
잠실역,롯데백화점 '설마중' 브래드 프로모션,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,백화점/중대형마트,09:03:15,9:06:30
잠실역,롯데백화점 신년,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,백화점/중대형마트,09:06:30,09:09:45
명동역,BYC,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,의류,09:09:45,9:13:00
명동역,SLMNC(광고대행사),all,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,전자상거래 소매 중개업,09:13:00,09:16:15
명동역,아름다운가게,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,식료품,09:16:15,9:19:30
명동역,숭의여자대학교,female,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,대학교,09:19:30,09:22:45
명동역,결혼해듀오,all,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,기타,09:22:45,9:26:00
명동역,AliExpress 타임딜,all,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,소매업,09:26:00,09:29:15
구리역,제일항외과 소아청소년과의원,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:29:15,9:32:30
구리역,DOB 구리역점,all,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,미용실,09:32:30,09:35:45
구리역,서울N비뇨의학과의원 구리,man,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:35:45,9:39:00
여의도역,IKEA,all,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,인테리어,09:39:00,09:42:15
여의도역,키움투자자산운용,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,은행,09:42:15,9:45:30
여의도역,JC빛소망안과의원,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:45:30,09:48:45
여의도역,휘트니스피플 우먼,female,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,피부/미용,09:48:45,9:52:00
여의도역,여의도 상한가의원,female,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:52:00,09:55:15
여의도역,서울시(SOL 스테이션),all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,행정기관,09:55:15,9:58:30
여의도역,하나자산운용,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,은행,09:58:30,10:01:45
여의도역,베르테르(디큐브 링크아트센터),all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,극장/영화관,10:01:45,10:05:00
여의도역,신한투자증권,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,은행,10:05:00,10:08:15
여의도역,픽셀그라운드,all,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,기타,10:08:15,10:11:30
여의도역,연세탄탄 재활의학과의원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,10:11:30,10:14:45
회룡역,샤브올데이,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,일식,10:14:45,10:18:00
회룡역,튼튼어린이병원,all,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,병원,10:18:00,10:21:15
회룡역,연세베스트병원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,10:21:15,10:24:30
회룡역,연세세브란스치과,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,10:24:30,10:27:45
회룡역,한국생명존중희망재단,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,행정기관,10:27:45,10:31:00
회룡역,경기북부제대군인지원센터,man,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,행정기관,10:31:00,10:34:15
상봉역,연세위드치과의원,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:00:00,09:03:15
상봉역,예항맥외과의원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:03:15,9:06:30
상봉역,서울퍼시픽 안과의원,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:06:30,09:09:45
상봉역,"에듀윌 세무사, 회계사",all,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,기술직업훈련,09:09:45,9:13:00
상봉역,AliExpress 타임딜,all,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,소매업,09:13:00,09:16:15
상봉역,bzp 비플식권,all,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,가전제품(소프트웨어),09:16:15,9:19:30
상봉역,에듀윌 공인중개사,all,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,기술직업훈련,09:19:30,09:22:45
상봉역,에듀윌,all,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,기술직업훈련,09:22:45,9:26:00
상봉역,WINTER FESTA(윈터페스타),all,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,행정기관,09:26:00,09:29:15
상봉역,에듀윌 토익,all,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,어학원,09:29:15,9:32:30
상봉역,엘에이치치과의원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:32:30,09:35:45
상봉역,오킴스피부과의원,female,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,피부/미용,09:35:45,9:39:00
상봉역,팔각도 상봉역점,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,한식,09:39:00,09:42:15
상봉역,약손명가 상봉역점,female,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,피부/미용,09:42:15,9:45:30
상봉역,백년튼튼 정형외과 재활의학과의원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,09:45:30,09:48:45
상봉역,포케올데이 상봉역점,all,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,서양식,09:48:45,9:52:00
상봉역,에듀윌 감정평가사,all,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,기술직업훈련,09:52:00,09:55:15
상봉역,imweb,all,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,가전제품(소프트웨어),09:55:15,9:58:30
상봉역,승리의 여신 : 니케(게임),all,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,가전제품(소프트웨어),09:58:30,10:01:45
상봉역,검은수녀들,all,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,극장/영화관,10:01:45,10:05:00
상봉역,실손24,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,가전제품(소프트웨어),10:05:00,10:08:15
상봉역,국립국악관현악단(2025 신년음악회),all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,극장/영화관,10:08:15,10:11:30
상봉역,"문화, 예술 정보",all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,극장/영화관,10:11:30,10:14:45
상봉역,주변 맛집,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,한식,10:14:45,10:18:00
상봉역,병원정보,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,10:18:00,10:21:15
상봉역,시민안전체험관,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,행정기관,10:21:15,10:24:30
상봉역,삼성자산운용,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,은행,10:24:30,10:27:45
상봉역,뮤지컬 베르테르,female,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,극장/영화관,10:27:45,10:31:00
상봉역,뮤지컬 위대한 개비츠,female,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,극장/영화관,10:31:00,10:34:15
상봉역,아임웹(나만의 등록증 만들기),all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,가전제품(소프트웨어),10:34:15,10:37:30
상봉역,넷플릭스(중증외상센터),all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,가전제품(소프트웨어),10:37:30,10:40:45
상봉역,사옹원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,한식,10:40:45,10:44:00
상봉역,고용노동부(일가정양립),all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,행정기관,10:44:00,10:47:15
상봉역,보건복지부(장애인활동지원서비스),all,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,행정기관,10:47:15,10:50:30
군자역,척편안의원 군자역,all,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,병원,10:40:45,10:44:00
군자역,향 The Banquet,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,극장/영화관,10:44:00,10:47:15
군자역,리사운드 고객센터,all,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,기타의료업,10:47:15,10:50:30
군자역,서울척앤본신경외과의원,all,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,병원,10:50:30,10:53:45
군자역,연세퍼스트치과의원,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,10:53:45,10:57:00
군자역,서울바른안과의원,all,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,10:57:00,11:00:15
군자역,환경부(greencard),all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,행정기관,11:00:15,11:03:30
군자역,서울금연지원센터,all,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,행정기관,11:03:30,11:06:45
군자역,군자성모 정형외과의원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,11:06:45,11:10:00
군자역,올유메디컬의원,all,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,병원,11:10:00,11:13:15
